word_id,incomparable,comparative,superlative,short_m,short_f,short_n,short_pl,decl_m_id,decl_f_id,decl_n_id,decl_pl_id
71598,,,,напущен,напущена,напущено,напущены,147263,147264,147265,147266
71599,,,,,,,,147267,147268,147269,147270
71600,,,,,,,,147271,147272,147273,147274
71601,,,,,,,,147275,147276,147277,147278
71602,,,,,,,,147279,147280,147281,147282
71603,,,,,,,,147283,147284,147285,147286
71604,,,,,,,,147287,147288,147289,147290
71605,,,,воспеваем,воспеваема,воспеваемо,воспеваемы,147291,147292,147293,147294
71606,,,,,,,,147295,147296,147297,147298
71607,,,,,,,,147299,147300,147301,147302
71608,,,,,,,,147303,147304,147305,147306
71609,,,,забракован,забракована,забраковано,забракованы,147307,147308,147309,147310
71610,,,,,,,,147311,147312,147313,147314
71611,,,,,,,,147315,147316,147317,147318
71612,,,,попилен,попилена,попилено,попилены,147319,147320,147321,147322
71613,,,,,,,,147323,147324,147325,147326
71614,,,,врублен,врублена,врублено,врублены,147327,147328,147329,147330
71615,,,,,,,,147331,147332,147333,147334
71616,,,,,,,,147335,147336,147337,147338
71617,,,,возвышаем,возвышаема,возвышаемо,возвышаемы,147339,147340,147341,147342
71618,,,,,,,,147343,147344,147345,147346
71619,,,,застлан,застлана,застлано,застланы,147347,147348,147349,147350
71620,,,,,,,,147351,147352,147353,147354
71621,,,,,,,,147355,147356,147357,147358
71622,,,,,,,,147359,147360,147361,147362
71623,,,,,,,,147363,147364,147365,147366
71624,,,,,,,,147367,147368,147369,147370
71625,,,,,,,,147371,147372,147373,147374
71626,,,,,,,,147375,147376,147377,147378
